Time	Event
3990	:
3990	WINDOWS,b,
4010	Adap/H,b,OM
4010	AdapLeft,b, OM
4040	Adap/H,e,OM
4040	AdapLeft,e, OM
5245	b,H 01
6017	e,H 01
6357	b,G 01
7020	e,G 01
7824	b,H 02
9832	WINDOWS,e,
25952	WINDOWS,b,
27920	b,G 02
27940	e,H 02
28540	e,G 02
29100	b,H 03
31091	WINDOWS,e,
38771	WINDOWS,b,
40780	e,H 03
41100	b,G 03
42238	b,H 04
42249	e,G 03
44080	Adap/H,b,OM
44080	AdapLeft,b, OM
44080	A Host Speaking,b,OM t3
44100	Adap/H,e,OM
44100	AdapLeft,e, OM
44100	A Host Speaking,e,OM t3
44251	WINDOWS,e,
44349	WINDOWS,b,
46340	e,H 04
46480	b,G 04
48509	WINDOWS,e,
48828	Adap/H,b,UM
48840	Adap/H,e,UM
49963	Adap/G,b,S-Face
49963	A Guest Speaking,b,S-Face t4
49990	Adap/G,e,S-Face
49990	A Guest Speaking,e,S-Face t4
53943	Adap/G,b,S-Hand
53943	A Guest Speaking,b,S-Hand t4
53970	Adap/G,e,S-Hand
53970	A Guest Speaking,e,S-Hand t4
84069	WINDOWS,b, 
84780	b,H 05
86060	e,G 04
87340	b,G 05
88760	e,H 05
89980	e,G 05
90128	b,H 06
90411	e,H 06
90888	b,G 06
92586	Adap/G,b,UM
92586	AdapRight,b,  UM
92586	A Guest Speaking,b,UM t6
92620	Adap/G,e,UM
92620	AdapRight,e,  UM
92620	A Guest Speaking,e,UM t6
92909	WINDOWS,e, 
98974	WINDOWS,b,
100962	e,G 06
102120	b,H 07
102410	Adap/G,b,S-Face
102410	AdapRight,b, S-Face
102440	Adap/G,e,S-Face
102440	AdapRight,e, S-Face
103531	Adap/G,b,S-Face
103531	AdapRight,b, S-Face
103560	Adap/G,e,S-Face
103560	AdapRight,e, S-Face
104134	WINDOWS,e,
104531	Adap/G,b,S-Face
104550	Adap/G,e,S-Face
105254	WINDOWS,b,
107240	e,H 07
107240	b,G 07
108833	e,G 07
109360	b,H 08
111374	WINDOWS,e,
117174	WINDOWS,b,
119152	e,H 08
119508	b,G 08
121534	WINDOWS,e,
123861	Adap/G,b,S-Face
123861	A Guest Speaking,b,S-Face t8
123880	Adap/G,e,S-Face
123880	A Guest Speaking,e,S-Face t8
128620	Adap/H,b,S-Face
128640	Adap/H,e,S-Face
137836	WINDOWS,b,
139840	e,G 08
141840	b,H 09
143592	b,G 09
143880	e,H 09
145614	WINDOWS,e,
153014	WINDOWS,b,
154160	b,H 10
155000	e,G 09
157296	b,G 10
157480	e,H 10
159851	e,G 10
160162	b,H 11
161610	Adap/G,b,S-Face
161610	AdapRight,b, S-Face
161640	Adap/G,e,S-Face
161640	AdapRight,e, S-Face
162174	WINDOWS,e,
167174	WINDOWS,b,
168391	Adap/H,b,OM
168391	AdapLeft,b, OM
168391	A Host Speaking,b,OM t9
168410	Adap/H,e,OM
168410	AdapLeft,e, OM
168410	A Host Speaking,e,OM t9
169166	b,G 11
169180	e,H 11
171174	WINDOWS,e,
188311	Adap/H,b,OM
188340	Adap/H,e,OM
205116	WINDOWS,b,
207092	e,G 11
207180	b,H 12
209196	WINDOWS,e,
209276	WINDOWS,b,
210370	b,G 12
211260	e,H 12
212119	b,H 13
213833	e,G 12
214134	WINDOWS,e,
215792	WINDOWS,b,
217685	b,G 13
217761	e,H 13
219712	WINDOWS,e,
232410	WINDOWS,b,
234388	e,G 13
234740	b,H 14
237111	b,G 14
237800	e,H 14
239112	WINDOWS,e,
239380	Adap/G,b,UM
239380	A Guest Speaking,b,UM t15
239420	Adap/G,e,UM
239420	A Guest Speaking,e,UM t15
246138	Adap/G,b,S-Face
246138	A Guest Speaking,b,S-Face t15
246160	Adap/G,e,S-Face
246160	A Guest Speaking,e,S-Face t15
247427	Adap/H,b,UM
247440	Adap/H,e,UM
251272	WINDOWS,b,
252520	b,H 15
253259	e,G 14
254648	b,G 15
254780	e,H 15
256672	WINDOWS,e,
262188	WINDOWS,b, 
264166	e,G 15
265460	b,H 16
266944	b,G 16
267740	e,H 16
269592	e,G 16
270360	b,H 17
272366	WINDOWS,e, 
276557	WINDOWS,b,
278540	e,H 17
279000	b,G 17
281037	WINDOWS,e,
292873	Adap/H,b,UM
292890	Adap/H,e,UM
312204	WINDOWS,b,
314185	e,G 17
314440	b,H 18
316444	WINDOWS,e,
320102	WINDOWS,b,
322100	e,H 18
322703	b,G 18
323740	e,G 18
323839	b,H 19
324369	e,H 19
324462	b,G 19
326462	WINDOWS,e,
342902	WINDOWS,b,
344888	e,G 19
347220	b,H 20
349222	WINDOWS,e,
353382	WINDOWS,b,
354195	Adap/H,b,OM
354195	AdapLeft,b, OM
354195	A Host Speaking,b,OM t18
354220	Adap/H,e,OM
354220	AdapLeft,e, OM
354220	A Host Speaking,e,OM t18
354296	b,G 20
355380	e,H 20
356324	WINDOWS,e,
372504	Adap/G,b,S-Face
372504	A Guest Speaking,b,S-Face t23 t24 t25
372530	Adap/G,e,S-Face
372530	A Guest Speaking,e,S-Face t23 t24 t25
392556	Adap/H,b,S-Neck
392570	Adap/H,e,S-Neck
396397	Adap/H,b,S-Face
396410	Adap/H,e,S-Face
421580	Adap/G,b,S-Face
421580	A Guest Speaking,b,S-Face t23 t24 t25
421610	Adap/G,e,S-Face
421610	A Guest Speaking,e,S-Face t23 t24 t25
421706	WINDOWS,b,
423685	e,G 20
424560	b,H 21
424779	Adap/G,b,OM
424779	AdapRight,b, OM
424830	Adap/G,e,OM
424830	AdapRight,e, OM
426094	Adap/G,b,S-Arm
426094	AdapRight,b, S-Arm
426110	Adap/G,e,S-Arm
426110	AdapRight,e, S-Arm
426574	WINDOWS,e,
434026	WINDOWS,b,
435980	e,H 21
436074	b,G 21
438106	WINDOWS,e,
440359	WINDOWS,b,
442160	b,H 22
442164	Adap/G,b,S-Neck
442164	AdapRight,b, S-Neck
442164	A Guest Speaking,b,S-Neck t26
442190	Adap/G,e,S-Neck
442190	AdapRight,e, S-Neck
442190	A Guest Speaking,e,S-Neck t26
442333	e,G 21
443039	Adap/H,b,S-Face
443039	AdapLeft,b, S-Face
443039	A Host Speaking,b,S-Face t22
443060	Adap/H,e,S-Face
443060	AdapLeft,e, S-Face
443060	A Host Speaking,e,S-Face t22
444172	WINDOWS,e,
444264	Adap/H,b,S-Face
444264	A Host Speaking,b,S-Face t22
444280	Adap/H,e,S-Face
444280	A Host Speaking,e,S-Face t22
446105	Adap/H,b,S-Face
446105	A Host Speaking,b,S-Face t22
446130	Adap/H,e,S-Face
446130	A Host Speaking,e,S-Face t22
446665	WINDOWS,b,
447444	b,G 22
448259	Adap/G,b,S-Neck
448259	AdapRight,b, S-Neck
448259	A Guest Speaking,b,S-Neck t28
448280	Adap/G,e,S-Neck
448280	AdapRight,e, S-Neck
448280	A Guest Speaking,e,S-Neck t28
448647	e,H 22
449465	WINDOWS,e,
471406	Adap/H,b,OM
471420	Adap/H,e,OM
494238	Adap/G,b,S-Neck
494238	A Guest Speaking,b,S-Neck t28
494270	Adap/G,e,S-Neck
494270	A Guest Speaking,e,S-Neck t28
518893	Adap/G,b,S-Face
518893	A Guest Speaking,b,S-Face t28
518920	Adap/G,e,S-Face
518920	A Guest Speaking,e,S-Face t28
